"","sample.id","EV1","EV2","EV3","EV4","EV5","EV6","EV7","EV8","EV9","EV10","pop","super_pop","gender"
"1","HG00096",0.0108401966834942,-0.0273740989897784,-0.0181638161725358,0.0187348226864902,-0.00134663437532797,0.00469550471832578,-0.00128609932720975,0.0146287291878974,-0.0366615042565069,0.00535343445772926,"GBR","EUR","male"
"2","HG00097",0.0111219832913158,-0.0250957352705627,-0.0144671915333975,0.0153102189715374,0.000389227082691073,-0.00133392128930603,0.00380674281568576,0.00382809987938401,-0.0255407543233858,0.0104109837251878,"GBR","EUR","female"
"3","HG00099",0.00958026367029307,-0.0257492140847119,-0.0123684140996778,0.0157680670388022,-0.00184687068287217,-0.000534656526491958,0.00113596513161632,0.0220655984578872,-0.0182803182543799,0.00591650427340148,"GBR","EUR","female"
"4","HG00100",0.0105202373322463,-0.026257782758551,-0.0194529049612212,0.018544293104478,-0.000110240938629644,-0.000596889711555225,0.00632177956591015,0.0078571022946719,0.00159527265723805,-0.00594503967163356,"GBR","EUR","female"
"5","HG00101",0.0101384009381779,-0.0271968104797492,-0.0185198097998651,0.0198580447909806,-0.00309356157289285,-0.00313950783515681,-0.00206359481236712,0.00607386885073901,-0.00538847034976165,-0.000994031160286701,"GBR","EUR","male"
"6","HG00102",0.00986437803789199,-0.0249022660861821,-0.0145758948472118,0.0106983062392187,0.000916814772126787,0.00039908674261681,0.000491931288740059,0.00596908438710545,-0.0165860371182318,0.0033209939652038,"GBR","EUR","female"
"7","HG00103",0.0103032276820177,-0.0227821275405339,-0.0125892362488252,0.0152022315571397,-0.00219523064272357,-0.000683518004989162,0.000727440001986391,0.000835289045200996,-0.0243084139756374,0.0189334207833671,"GBR","EUR","male"
"8","HG00105",0.0111298649591459,-0.0274205509601719,-0.0159803490531626,0.0170824760809499,-0.00292149444742389,-0.0030538662185835,-0.000794194173747888,0.0155760801701388,-0.0250742126770016,0.000161264011513316,"GBR","EUR","male"
"9","HG00106",0.0105259881233246,-0.0261430255221382,-0.0170923613142124,0.0121191592591927,-0.00247155957717588,-0.00223325050152488,-0.00506260823878301,0.031890096983493,-0.0127860346005901,-0.000582482057982576,"GBR","EUR","female"
"10","HG00107",0.0106879983674454,-0.0241178327389656,-0.0151494785470315,0.0134830113850406,-0.00558943995263058,-0.00143358688307936,-0.000604097311898383,0.0195484441243982,-0.0147765993811491,0.00931566918106772,"GBR","EUR","male"
"11","HG00108",0.0107932821913256,-0.0239977507950081,-0.0179241287755835,0.014288907300452,0.00145190974684066,-0.00486731174339757,0.00534474824455789,-0.043432203975833,-0.0192907416702423,0.00109571746594077,"GBR","EUR","male"
